national_number,english_name,evochain_0,evochain_2,evochain_4,evochain_6
791,Solgaleo,Cosmog,Cosmoem,Solgaleo,
792,Lunala,Cosmog,Cosmoem,Lunala,
31,Nidoqueen,Nidoran?,Nidorina,Nidoqueen,
34,Nidoking,Nidoran?,Nidorino,Nidoking,
313,Volbeat,Volbeat,,,
314,Illumise,Illumise,,,
52,Meowth,Meowth,Persian,,
45,Vileplume,Oddish,Gloom,Vileplume,
182,Bellossom,Oddish,Gloom,Bellossom,
62,Poliwrath,Poliwag,Poliwhirl,Poliwrath,
186,Politoed,Poliwag,Poliwhirl,Politoed,
282,Gardevoir,Ralts,Kirlia,Gardevoir,
475,Gallade,Ralts,Kirlia,Gallade,
199,Slowking,Slowpoke,Slowbro,Slowking,
221,Piloswine,Swinub,Piloswine,Mamoswine,
106,Hitmonlee,Tyrogue,Hitmonlee,,
107,Hitmonchan,Tyrogue,Hitmonchan,,
237,Hitmontop,Tyrogue,Hitmontop,,
264,Obstagoon,Zigzagoon,Linoone,Obstagoon,
134,Vaporeon,Eevee,Vaporeon,,
135,Jolteon,Eevee,Jolteon,,
136,Flareon,Eevee,Flareon,,
196,Espeon,Eevee,Espeon,,
197,Umbreon,Eevee,Umbreon,,
470,Leafeon,Eevee,Leafeon,,
471,Glaceon,Eevee,Glaceon,,
700,Sylveon,Eevee,Sylveon,,
866,Mr. Rime,Mime Jr.,Mr. Mime,Mr. Rime,
787,Tapu Bulu,Tapu Bulu,,,
788,Tapu Fini,Tapu Fini,,,
785,Tapu Koko,Tapu Koko,,,
786,Tapu Lele,Tapu Lele,,,
772,Type: Null,Type: Null,Silvally,,
